Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
TIANJIN GUANGYU DEV.'A' - TOTAL ASSETS,CN:TLI(WC02999A),CH,76736732,71725844,71893225,66971453,64646007,64721037,66697082,74194608,71766650,73819717,73144159,81667770,72471041,71503523,70814855,19748073,20435265,18879236,18104833,14462922,11469792,9989689,7809255,6108985,4915097,4650043,4641492,4296080,4260235,4034685,3987843,3716157,3391286,3458328,3274479,3268827,3111989,2993782,2959709,3116082,3082144,2957236,2675433,2370946,2390264,2282242,2845367,3000721,2961311,2878236,2733877,3577079,3309272,2902429,2914473,3379223,3012992,2575784,2421172,3131208,2712646,2559930,2491611
TIANJIN GUANGYU DEV.'A' - MRKT VALUE TO BOOK,CN:TLI(MTBV),CH,0.63,0.7,0.76,0.81,0.89,0.8,1.06,0.87,0.95,1.26,1.31,1.4,1.68,2.28,2.46,0.71,0.44,0.52,2.03,1.94,1.79,1.71,3.07,1.88,3.15,2.75,2.45,2.01,1.62,1.99,1.91,2.68,1.76,2.16,3.23,2.38,3.15,2.79,3.09,3.04,4.47,5.66,6.93,9.19,8.48,13.04,14.52,7.94,9.07,5.49,3.32,4.04,4.9,10.54,14.32,20.92,9.39,7.18,7.26,5.24,4.56,2.84,1.95
TIANJIN GUANGYU DEV.'A' - MARKET VALUE,CN:TLI(MV),CH,9740.98,10709.49,11678,12460.26,13596.4,12348.51,14471.79,11864.25,12888.64,17153.82,13950.28,14918.79,17954.7,24361.77,23784.39,6819.14,4209.41,4998.99,4655.47,4455.51,4106.86,3922.29,5998.79,3660.8,6142.35,5368.15,4435,3635.16,2937.87,3609.53,2922.49,4096.61,2696.89,3307.03,3768.47,2784.05,3686.44,3255.75,2743.04,2702.02,3973.56,5029.75,4235.04,5614.25,5183.57,7967.63,7321.6,4004.33,4573.44,2768.68,1456.12,1774,2148.29,4624.71,6921.69,10110.79,4537.55,3471.1,3199.36,2312.36,2009.85,1251.03,974.24
TIANJIN GUANGYU DEV.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:TLI(WC08287A),CH,4.844,4.546,4.682,4.447,4.45,4.544,4.9,5.751,5.984,6.558,6.846,7.786,6.537,6.751,7.332,8.235,8.91,8.476,7.88,6.565,5.614,4.958,4,3.153,2.589,2.502,2.564,2.42,2.492,2.525,2.608,2.675,2.525,2.926,2.802,2.995,2.925,3.039,3.332,4.227,4.567,4.672,4.379,3.872,3.973,3.938,5.644,6.501,6.984,6.704,6.233,7.008,7.04,6.128,6.031,6.24,5.844,4.902,5.492,6.767,5.712,5.233,4.993
JINYUAN EP 'A',CN:JLI(P),CH,6.49,7.35,7.52,9.02,10.07,8.21,10.1,9.67,9.64,9.97,8.66,10.51,13.37,15.53,17.85,13.96,10.9,12.37,11.32,11.39,10.54,9.3,13.32,7.73,11.7,9.7,7.63,9.68,6.78,6.12,6.06,5.95,5.33,6.02,7.14,6.47,7.13,8.37,6.93,10.82,12.2,13.92,13.1,16.26,12.94,16.14,14.14,11.69,9.42,6.46,7.1,3.25,7.25,7.6,9.4,12.16,7.53,5.65,2.82,3.04,2.82,2.41,2.34
JINYUAN EP 'A' - TOTAL ASSETS,CN:JLI(WC02999A),CH,9712643,9760643,9730730,9983913,9741901,9027360,9107609,9030762,8946822,8175682,8370011,8253739,8107596,7874400,7955247,7517857,4945345,4843049,5093628,4953567,4436564,4508459,4359338,3872386,4040149,4042334,4064764,266370,257104,264252,286272,299804,444789,421321,417498,343260,325081,350142,423160,442140,460017,440772,484568,467969,430060,396866,405591,302554,502215,534575,561431,557638,568442,541472,594157,456378,541574,542294,587446,571867,607491,664845,720041
JINYUAN EP 'A' - MRKT VALUE TO BOOK,CN:JLI(MTBV),CH,1.01,1.15,1.17,1.41,1.57,1.28,1.74,1.66,1.66,1.71,1.68,2.04,2.59,3.01,3.75,2.94,1.91,2.17,3.11,3.13,2.91,2.57,4.29,2.49,3.77,3.12,2.79,1,0.7,0.63,5.93,5.82,5.22,5.89,8.14,7.38,8.13,9.54,8.12,12.67,14.29,16.3,17.43,21.64,17.22,21.48,19.62,16.22,13.07,8.96,10.36,4.74,10.57,11.08,7.36,9.52,5.9,4.42,2.1,2.27,2.1,1.8,1.85
JINYUAN EP 'A' - MARKET VALUE,CN:JLI(MV),CH,4638.04,5252.63,5374.12,6446.09,7196.46,5867.23,7217.91,6910.61,6889.17,7125,6188.82,7510.91,9554.79,11098.42,12756.4,9976.43,6488.07,7363.06,6738.06,6779.73,6307.55,5565.48,7971.21,4625.93,7001.73,5804.86,4566.09,1640.82,1149.25,1037.38,1027.21,1008.56,903.47,1020.43,1210.28,1096.71,1208.58,1418.77,1174.68,1834.06,2067.98,2359.53,2220.53,2756.17,2193.41,2735.83,2396.82,1981.52,1596.75,1095.01,1203.49,550.89,1228.92,1288.24,1593.36,2061.19,1276.38,957.71,478.01,515.3,478.01,408.51,396.64
JINYUAN EP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:JLI(WC08287A),CH,2.033,2.14,2.125,2.215,2.256,2.184,2.191,2.227,2.328,2.211,2.269,2.208,2.291,2.314,2.342,2.267,2.525,2.274,2.35,2.373,2.286,2.452,2.346,2.18,2.465,2.519,2.488,1.479,1.5,1.538,1.653,1.805,3.021,2.858,2.808,2.235,2.068,2.17,2.924,3.32,3.295,3.105,3.804,3.787,3.617,3.229,3.32,2.325,3.948,4.195,4.831,3.829,3.629,3.382,2.744,4.807,5.476,4.666,2.587,2.601,2.805,3.156,3.357
JINAN HIGH-TECH DEVELOPMENT 'A',CN:JDS(P),CH,2.95,3.51,3.57,3.84,5.25,3.31,3.61,4.39,4.6,5.88,3.78,2.52,2.48,10.01,10.01,10.55,9.43,13.73,13.73,12.24,12.12,11.69,17.31,9.8,21.31,9.86,6.84,8.39,6.56,6.14,5.25,6.02,5.41,5.41,5.51,6.09,5.06,5.64,5.66,7.72,7.9,5.85,5.32,6,5.42,5.38,7.09,5.72,2.78,2.28,1.29,1.51,2.23,3.9,4.7,5.16,3.7,3.4,1.67,1.6,1.43,1,0.73
JINAN HIGH-TECH DEVELOPMENT 'A' - TOTAL ASSETS,CN:JDS(WC02999A),CH,4792188,4900261,4660319,5052129,5146102,4133879,4226737,6135237,6200036,6728812,7207579,8353898,8482049,8786446,9656115,9961019,9721639,10206029,9263132,8590582,7093482,6189334,5180726,4836541,3785129,3689050,3583852,3618991,3500730,2902317,2871850,2724658,2654719,2573081,2455491,2380136,2132052,2053432,1937208,1932358,1899075,1809459,1770855,1601535,1380508,1073476,1061913,1146255,1064390,979164,995054,1084480,1095719,1283472,1276411,1012270,980006,911749,884258,556273,540604,534126,529449
JINAN HIGH-TECH DEVELOPMENT 'A' - MRKT VALUE TO BOOK,CN:JDS(MTBV),CH,5.36,6.38,6.49,6.98,9.54,6.02,2.46,2.99,3.14,4.01,2.72,1.81,1.79,7.21,5.1,5.38,4.81,7,6.34,5.65,5.6,5.4,9.06,5.13,9.17,4.24,8.2,10.06,7.01,4.36,4.32,4.96,4.46,4.46,4.68,5.17,4.3,4.79,4.95,6.76,6.91,5.12,5.17,5.83,5.27,5.23,9,7.25,3.53,2.89,1.37,1.6,2.37,4.14,5.24,5.75,4.12,3.78,1.61,1.55,1.39,0.97,91.18
JINAN HIGH-TECH DEVELOPMENT 'A' - MARKET VALUE,CN:JDS(MV),CH,2609.67,3105.07,3158.14,3397,4644.33,2928.14,3193.53,3883.55,4069.32,5201.65,3343.92,2229.28,2193.89,8855.19,8855.19,9332.89,8342.11,12146.03,12146.03,10827.92,10721.77,10341.38,14828.34,8395.02,15016.82,6949.27,4818.95,5913.93,4123.06,2562.78,2190.25,2514.61,2257.69,2257.69,2299.44,2543.52,2113.17,2354.04,2363.67,3224.36,3298.22,2443.96,2222.37,2506.58,2264.11,2248.06,2961.01,2386.16,1162.57,952.22,537.93,629.46,931.34,1626.63,1963.84,2154.93,1543.14,1417.89,467.32,448.97,402.56,281.69,203.98
JINAN HIGH-TECH DEVELOPMENT 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:JDS(WC08287A),CH,14.895,11.635,9.574,4.09,3.844,3.299,3.257,4.993,4.808,5.495,5.866,11.694,8.05,5.56,5.564,4.816,4.795,5.128,4.835,4.323,3.66,3.336,3.165,3.063,7.056,6.438,6.097,6.152,14.794,5.646,5.668,5.482,5.385,5.174,4.994,4.869,4.422,4.275,4.061,4.143,4.073,3.942,4.12,4.117,3.482,2.729,3.227,3.078,2.809,2.517,2.533,2.834,2.896,3.407,3.407,3.274,3.218,3.028,3.048,-31.964,-51.688,-137.378,236.678
WEDGE INDUSTRIAL 'A',CN:SEP(P),CH,13.03,12,13.68,10.96,9.71,9.54,9.28,10.11,8.64,10.34,10.44,11.47,11.97,13.05,13.8,15.1,11.8,15.19,16.37,16.39,14.89,13.39,9.45,9.45,16.01,11.18,7.37,8.59,5.82,4.6,4.28,4.66,4.49,5.02,5.4,4.83,5.32,4.73,4.06,6.41,8.37,6.33,6.23,6.05,5.29,8.13,8.03,6.6,6.41,5.88,3.25,3.48,5.1,11.52,15.26,15.29,9.12,6.65,4.13,3.41,5.19,3.3,2.82
WEDGE INDUSTRIAL 'A' - TOTAL ASSETS,CN:SEP(WC02999A),CH,2013701,2091448,2122353,2023035,2030839,2204123,2058558,1995703,2110150,2170496,2599710,2631316,2506179,2570280,2407857,2255137,2663106,2588332,2353431,2576134,2522538,3344735,3288176,3744204,3740331,3579840,3486804,3493587,3599497,3645873,3191248,3292214,3385292,3074035,2970053,2874586,2716549,2876288,1329388,1327848,1298838,1284994,1219798,1393061,1351844,1391772,1339428,1374615,1567364,1526361,1415695,1393915,1286304,865686,974195,1007209,889375,720314,806450,580972,580686,565645,559961
WEDGE INDUSTRIAL 'A' - MRKT VALUE TO BOOK,CN:SEP(MTBV),CH,6.45,5.94,6.73,5.39,4.78,4.69,4.81,5.25,4.48,5.36,3.35,3.68,3.84,4.18,4.45,4.87,3.8,4.9,5.81,5.82,5.28,4.75,3.54,3.54,6,4.23,2.88,3.35,2.27,1.8,1.64,1.79,1.72,1.93,2.33,2.04,2.25,2,1.84,2.9,3.79,2.86,2.75,2.67,2.34,3.59,3.42,2.81,2.73,2.51,1.37,1.47,2.15,4.86,5.91,5.93,3.53,2.58,1.88,1.55,1.93,1.23,1.06
WEDGE INDUSTRIAL 'A' - MARKET VALUE,CN:SEP(MV),CH,6449.36,5939.55,6727.61,5389.96,4775.23,4691.63,4563.76,4971.94,4249.02,5085.05,5134.23,5640.77,5886.66,6417.79,6786.63,7425.95,5803.06,7470.21,8050.52,8060.35,7322.68,6585,4647.37,4647.37,7873.47,5543.54,3654.38,4259.3,2889.93,2284.14,2125.24,2313.93,2229.52,2492.69,2681.38,2345.89,2583.88,2297.32,1035.75,1635.26,2135.28,1614.85,1589.34,1543.42,1349.54,2074.05,2048.54,1683.73,1635.26,1500.05,829.11,887.79,1301.07,2938.87,3892.99,3900.64,2326.61,1696.49,1053.61,869.93,1080.88,687.26,587.3
WEDGE INDUSTRIAL 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SEP(WC08287A),CH,1.997,1.957,2.123,2.038,2.089,2.22,2.172,1.923,2.128,2.397,1.694,1.762,1.671,1.676,1.578,1.636,1.938,1.899,1.698,1.9,1.832,2.602,2.506,2.914,2.931,2.841,2.745,2.594,2.674,2.763,2.469,2.81,2.927,2.624,2.582,2.773,2.666,2.801,2.358,2.491,2.418,2.281,2.113,2.508,2.401,2.369,2.238,2.341,2.689,2.599,2.34,2.453,2.225,1.416,1.48,1.405,1.36,1.314,1.441,1.013,1.02,1.019,1.013
ZHONGTIAN FINL.GP.'A',CN:GZG(P),CH,2.73,2.96,3.15,3.35,3.22,3.11,3.33,3.37,3.83,4.62,4.9,4.9,4.9,4.9,4.9,4.9,4.63,4.42,4.62,4.61,4.15,4.79,6.08,4.89,8.4,9.54,3.14,2.05,1.36,1.43,1.55,1.83,1.87,1.48,1.85,1.7,1.97,2.14,1.7,1.96,3.17,3.16,2.62,2,1.72,2.29,2.21,2,1.85,0.94,0.37,0.63,0.65,0.77,0.92,1.1,0.92,0.46,0.26,0.3,0.18,0.15,0.15
ZHONGTIAN FINL.GP.'A' - TOTAL ASSETS,CN:GZG(WC02999A),CH,152290020,146104696,135119315,130384485,122377694,119769793,117223353,114579102,111066616,111251114,99702883,78077863,76622857,104879891,106896103,75621975,72803540,72642872,70899636,66735125,50731569,53601324,55317974,44049440,43120338,40538806,43285577,NA,39362242,37881785,36357453,31051387,29120263,26404405,26627004,22172047,19751062,18458540,17941451,15014688,14364210,12790934,12291984,9916260,8673149,7184905,6244490,4783850,3083431,2978070,2825344,2151300,1611987,1465567,1543016,1277210,1268827,1264404,1272356,1245188,1118115,1129695,1082279
ZHONGTIAN FINL.GP.'A' - MRKT VALUE TO BOOK,CN:GZG(MTBV),CH,1.05,1.14,1.21,1.29,1.24,1.2,1.32,1.33,1.52,1.83,2.02,2.02,2.03,2.03,2.15,2.15,2.03,1.94,2.18,2.18,1.96,2.26,3.12,2.51,4.3,4.87,2.77,1.35,0.9,0.95,2.2,2.6,2.64,2.09,3.75,3.45,3.99,4.34,3.78,4.37,7.06,7.04,7.29,5.57,4.8,6.38,8.77,7.95,7.37,3.73,2.32,3.94,3.76,4.4,10.87,12.97,10.88,5.38,6.47,7.43,4.57,3.7,4.31
ZHONGTIAN FINL.GP.'A' - MARKET VALUE,CN:GZG(MV),CH,19124.34,20735.55,22066.54,23467.6,22556.91,21786.33,23327.49,23607.7,26830.12,32364.27,34325.73,34325.73,34527.82,34527.83,34527.83,34551.93,32663.4,31141.69,32494.65,32447.76,29216,33671.3,39383.83,31603.8,54251.72,61442.29,20228.91,9888.55,6566.62,6901.39,7467.92,8858.5,8964.48,7110.2,8874.96,8171.61,9437.64,10281.65,8146.04,9412.06,15217.85,15163.05,12541.49,9591.09,8266.61,10972.65,10578.74,9591.07,8894.59,4498.68,1769.78,3007.91,2869.42,3362.9,4055.75,4840.09,4059.02,2006.63,1143.85,1313.79,807.23,653.63,647.09
ZHONGTIAN FINL.GP.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:GZG(WC08287A),CH,8.325,7.922,7.416,7.058,6.655,6.691,6.623,6.332,6.231,6.202,5.854,3.813,3.723,6.248,6.651,4.814,4.698,4.548,4.755,4.719,3.78,4.216,4.385,4.939,5.116,5.287,5.929,NA,9.854,10.181,10.688,10.374,10.608,9.946,11.251,9.593,8.414,8.032,8.327,7.683,7.61,7.016,7.143,7.093,6.416,5.581,5.177,4.449,3.593,3.784,3.701,2.645,3.626,3.724,4.136,3.635,3.432,4.225,7.199,7.618,6.978,7.346,7.215
SHANGHAI SHIMAO 'A',CN:SWX(P),CH,4.04,4.34,4.61,6.16,4.47,4.08,4.5,4.22,4.61,5.23,3.76,4.27,4.18,5.01,4.94,5.37,4.9,5.21,5.01,5.47,4.85,5.32,6.24,5.09,6.65,6.74,5,3.43,2.9,2.93,3.05,3.53,2.85,3.28,3.98,3.13,3.73,4.03,3.55,4.1,4.98,5.39,4.6,4.03,3.86,5.35,5.67,4.78,4.96,3.69,2.29,2.58,3.2,5.8,6.97,9.72,8.91,2.51,1.7,1.49,1.29,1.1,0.93
SHANGHAI SHIMAO 'A' - TOTAL ASSETS,CN:SWX(WC02999A),CH,151936919,147747938,146566623,140042215,132035339,127474880,124795912,112803392,116472147,108849230,105923670,98314703,92296003,93264836,89788623,88084567,81236925,77758725,78329005,62341033,62675746,65488878,64088789,63878210,61562561,60083519,57840802,57454667,59642932,52943186,49231198,44237168,39952888,36587410,36511012,35752467,34140392,33247053,32707061,28982147,28756094,25209678,25665335,21461291,20322918,17216097,15957050,12901009,12499839,3245821,2750718,3280318,3044883,2636978,3105292,2852500,2896942,2729295,2863183,3782576,3720407,3118453,2668441
SHANGHAI SHIMAO 'A' - MRKT VALUE TO BOOK,CN:SWX(MTBV),CH,0.58,0.62,0.66,0.89,0.64,0.59,0.67,0.62,0.68,0.77,0.6,0.68,0.66,0.79,0.85,0.93,0.85,0.9,0.95,1.04,0.92,1.01,1.2,0.9,1.18,1.19,1.07,0.73,0.62,0.63,0.74,0.86,0.69,0.79,1.09,0.86,1.02,1.11,1.19,1.37,1.66,1.8,1.92,1.68,1.61,2.23,3.14,2.65,2.75,0.84,2.75,3.1,3.85,6.97,8.05,11.23,10.29,2.9,2.64,2.31,2,1.7,1.62
SHANGHAI SHIMAO 'A' - MARKET VALUE,CN:SWX(MV),CH,15154.71,16280.07,17292.88,23107.19,16767.72,15304.76,16880.25,15829.93,17292.88,19618.61,14104.39,16017.48,15679.88,18793.35,18530.77,20143.77,18380.72,19532.86,18809.42,20524.24,18193.16,19961.57,23406.52,17569.06,22932.05,23248.98,17246.22,11799.59,9996.88,10067.11,10511.94,12162.48,9797.88,11284.53,13695.96,10769.47,12853.13,13883.25,12232.71,14117.37,17125.8,18553.93,15814.73,13883.25,13274.54,18401.75,19502.09,16446.86,17078.97,5194.93,3214.54,3625.93,4501.31,8151.16,9806.27,13676.15,12532.89,3530.26,2396.56,2096.79,1815.89,1542.8,1308.72
SHANGHAI SHIMAO 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SWX(WC08287A),CH,5.554,5.615,5.618,5.457,4.976,4.988,4.916,4.652,4.607,4.532,4.474,4.249,3.955,4.242,4.129,4.196,3.878,3.875,3.955,3.142,3.147,3.32,3.293,3.798,3.656,3.69,3.598,3.84,3.995,3.681,3.466,3.245,2.963,2.864,2.908,3.006,2.834,3.145,3.169,2.953,2.947,2.991,3.114,3.119,2.969,2.761,2.57,2.126,2.05,2.451,2.354,2.226,2.078,2.16,2.549,3.068,3.117,3.006,3.159,4.903,4.786,3.877,3.305
SHAI.TONGJI SCTC.INDL. 'A',CN:STO(P),CH,8.52,10.07,8.26,9.3,8.5,8.24,9.31,7.86,8.87,9.94,7.15,7.14,7.53,9.06,9.63,14.26,8.17,8.66,9.21,9.49,9.9,10.26,11.96,8.53,12.39,11.21,8.65,9.24,7.85,8.15,5.69,6.7,5.26,4.87,4.3,4.36,4.83,4.41,4.37,4.99,6.08,6.72,6.18,6.57,4.45,7.25,5.57,4.13,5.03,4.56,2.75,3.37,4.25,6.04,4.39,4.83,3.12,3.19,1.74,1.92,1.92,1.71,1.94
SHAI.TONGJI SCTC.INDL. 'A' - TOTAL ASSETS,CN:STO(WC02999A),CH,7765182,10205037,11311391,12174138,11778072,12589119,12123906,12901076,13337164,13007625,12294597,12093861,10962412,10376570,9153256,9487579,9937227,9481076,8877939,9078580,9022001,8821795,8464412,6908881,6929377,6576130,6656956,7044831,7098933,7104041,6538452,7017615,6787412,7003646,6705174,6411589,6603376,6393799,6673250,5899321,4764672,4359142,4131883,3392004,3529515,3271648,2711893,2775479,2716812,2430085,2222962,2297929,2323607,2200839,2051715,2154944,2081762,1409522,1382209,1441081,2034084,2237577,1739112
SHAI.TONGJI SCTC.INDL. 'A' - MRKT VALUE TO BOOK,CN:STO(MTBV),CH,1.75,2.07,1.7,1.91,1.75,1.7,2.08,1.76,1.98,2.22,1.95,1.95,2.06,2.47,2.91,4.31,2.47,2.62,3.01,3.11,3.24,3.36,4.18,2.98,4.33,3.92,3.2,3.42,2.9,3.01,2.32,2.73,2.14,1.98,1.91,1.94,2.15,1.96,2.1,2.4,2.92,3.23,3.24,3.45,2.33,3.8,3.1,2.3,2.8,2.03,2.49,3.06,3.85,5.47,3.88,4.26,2.76,2.82,1.75,1.93,1.93,1.72,1.96
SHAI.TONGJI SCTC.INDL. 'A' - MARKET VALUE,CN:STO(MV),CH,5322.96,6291.34,5160.53,5810.28,5310.47,5148.03,5816.53,4910.62,5541.63,6210.13,4467.04,4460.79,4704.45,5660.34,6016.45,8909.09,5104.3,5410.43,5754.05,5928.98,6185.13,6410.05,7472.14,5329.21,7740.79,7003.57,5404.18,5772.79,4904.37,5091.8,3554.89,4185.9,3286.24,3042.59,2686.47,2723.96,3017.59,2755.19,2730.21,3117.56,3798.55,4198.39,3861.02,4107.8,2780.19,4529.52,3481.31,2578.88,3141.16,2283.12,1376.54,1688.01,2127.39,3022.83,2196.91,2416.6,1562.87,1596.24,870.42,962.19,962.19,856.52,973.31
SHAI.TONGJI SCTC.INDL. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:STO(WC08287A),CH,2.451,3.288,3.726,4.044,4.002,4.396,4.343,5.146,5.75,5.586,5.376,5.671,5.213,4.837,4.425,4.963,5.248,4.886,4.651,5.017,5.107,4.87,4.736,4.062,4.11,3.796,3.938,4.46,4.557,4.541,4.263,4.858,4.777,4.919,4.778,4.766,4.986,4.851,5.136,4.72,3.894,3.611,3.468,2.903,3.099,2.876,2.414,2.567,2.562,4.407,4.023,4.181,4.094,3.984,3.619,4.138,3.986,2.873,2.772,3.08,4.427,4.705,3.506
SHANGHAI LINGANG HOLDINGS 'A',CN:SAU(P),CH,17.9,15.28,16.68,18.61,17.89,16.75,20.46,21.83,25.94,23.93,17.23,18.06,18.06,20.78,18.58,23.16,17.97,16.4,16.13,17.98,12.85,12.85,19.14,13.05,20.84,13.48,9.27,6.6,6.6,7.17,5.81,5.96,4.28,5.38,5.28,5.56,6.18,6.19,5.67,8.08,8.69,10.18,9.97,10.37,7.1,10.69,8.92,7.58,8.41,7.92,4.48,4.48,5.44,10.47,13.98,13.23,11.63,5.57,2.24,3.81,3.81,2.73,2.51
SHANGHAI LINGANG HOLDINGS 'A' - TOTAL ASSETS,CN:SAU(WC02999A),CH,45399147,45824140,41461331,39804822,38333967,36534813,37169123,32273609,29262953,16068537,15294498,15304866,15102802,13762753,12918485,12206959,12389405,12202590,10561672,7243026,7144161,6941113,6914145,6313710,1800536,1741216,1716476,1889121,1861725,1842248,1782270,1792968,1789807,1723265,1683332,1522537,1559341,1485376,1515875,1447573,1395947,1384097,1302514,1378451,1307332,1319028,1245631,1219438,1158693,1072214,1086559,1128893,1077712,1058079,953156,976294,961203,910186,NA,NA,NA,NA,NA
SHANGHAI LINGANG HOLDINGS 'A' - MRKT VALUE TO BOOK,CN:SAU(MTBV),CH,3.11,2.65,2.9,3.23,3.11,2.91,3.79,3.64,2.44,2.25,3.4,3.56,3.56,4.1,3.84,4.78,3.71,3.39,3.69,4.11,2.94,2.94,6.6,3.82,2.67,1.72,32.94,23.46,23.46,25.47,14.33,14.7,10.54,13.28,13.88,14.6,16.22,16.27,15.77,22.47,24.18,28.33,28.77,29.92,20.49,30.86,26.6,22.62,25.08,23.62,13.92,13.92,16.89,32.49,45.28,42.85,37.67,18.03,7.91,13.43,13.43,9.61,9.24
SHANGHAI LINGANG HOLDINGS 'A' - MARKET VALUE,CN:SAU(MV),CH,42851.02,36586.88,39938.36,44546.62,42831,40097.96,48975.34,47059.02,31527.65,29076.74,20944.15,21946.8,21946.8,25258.57,22584.86,28144.97,21835.4,19931.38,15248.32,16997.73,12151.37,12151.37,18100.97,10469.99,7306.45,4723.92,3248.61,2313.76,2313.76,2512.41,2036.22,2088.81,1498.68,1887.23,1852.18,1948.58,2164.77,2170.61,1986.56,2830.85,3047.03,3569.97,3494.01,3634.23,2489.04,3748.17,3125.91,2658.48,2947.7,2775.34,1571.72,1571.72,1907.68,3669.29,4902.12,4639.2,4078.29,1951.5,785.86,1335.08,1335.08,955.3,879.34
SHANGHAI LINGANG HOLDINGS 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SAU(WC08287A),CH,3.059,3.08,2.853,2.777,2.756,2.642,2.728,3.684,3.516,2.329,2.246,2.28,2.313,2.093,1.985,1.91,1.97,1.982,2.285,2.205,2.243,2.221,2.22,2.114,13.039,13.117,12.734,9.952,9.38,9.602,9.174,9.547,9.553,9.412,9.23,8.571,8.847,8.588,8.802,8.54,8.272,8.304,7.846,8.498,8.105,8.62,7.755,7.55,7.255,6.844,7.038,7.34,7.052,7.065,6.442,6.438,6.482,6.363,NA,NA,NA,NA,NA
LANDER SPORTS DEV.'A',CN:SFC(P),CH,2.7,3.06,2.78,2.99,2.6,2.7,3.3,3.5,3.59,4.54,2.9,3.16,3.58,4.45,4.95,6.51,7.6,9.83,9.83,9.55,11.03,12.52,18.47,11.15,21.87,5.55,3.98,4.19,3.09,3.23,2.29,2.31,2.13,2.51,2.69,2.5,2.91,3.31,2.2,2.92,5.26,4.17,2.9,3.04,2.61,3.31,3.12,2.56,3.2,2.23,1.53,1.51,1.54,3.05,3.27,3.31,2.24,1.82,1.28,1.21,0.82,0.9,0.89
LANDER SPORTS DEV.'A' - TOTAL ASSETS,CN:SFC(WC02999A),CH,2038309,2132991,2165881,2182577,2173081,2353961,2420031,2350962,2314233,2687311,2753017,2492775,2832717,2556190,2545326,2442680,2418727,2456588,2533836,2241589,2276337,2593630,2806843,4356284,4311868,4497980,4646583,5998733,5648188,6194004,6173709,6404550,5693664,5732553,5805804,5389801,4912068,4785641,4575095,4313290,4310912,3814293,3729258,3226804,2836411,3038033,2514531,2392008,2253387,2034641,1925827,1838131,1828633,1890357,1928504,784916,735311,596868,593548,733712,709651,757271,748128
LANDER SPORTS DEV.'A' - MRKT VALUE TO BOOK,CN:SFC(MTBV),CH,2.86,3.24,2.94,3.17,2.75,2.86,3.29,3.49,3.58,4.53,2.95,3.22,3.65,4.53,4.82,6.34,7.4,9.57,9.77,9.49,10.95,12.43,18.6,11.23,22.02,5.59,3.12,3.28,1.77,1.86,2.42,2.44,2.25,2.65,2.92,2.72,3.17,3.6,2.61,3.47,6.25,4.95,3.6,3.76,3.23,4.11,4.67,3.84,4.79,3.34,2.93,2.89,2.96,5.85,8.05,3.87,2.61,2.13,3.37,3.17,2.16,2.38,2.69
LANDER SPORTS DEV.'A' - MARKET VALUE,CN:SFC(MV),CH,3480.91,3945.03,3584.04,3854.78,3351.98,3480.91,4254.44,4512.29,4628.31,5853.08,3738.75,4073.95,4615.42,5737.05,6381.66,8392.85,9798.11,12677.36,12677.36,12316.38,14215.83,16141.08,23807.66,14370.55,28191.03,7150.89,5131.11,5406.14,2918.14,3056.8,2168.13,2180.73,2010.56,2369.81,2539.98,2363.51,2754.28,3126.13,2079.89,2760.58,4972.82,3941.04,2743.52,2869.58,2465.46,3132.81,2947.43,2420.97,3021.58,2109.55,1445.91,1423.67,1457.03,2881.93,3089.55,1484.47,1001.75,816.63,574.1,540.13,367.89,405.39,400.7
LANDER SPORTS DEV.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SFC(WC08287A),CH,1.747,1.77,1.779,1.719,1.714,1.841,1.872,1.948,1.894,2.178,2.175,1.851,2.106,1.917,1.922,1.865,1.844,1.88,1.952,1.723,1.747,2,2.193,2.749,2.692,2.728,2.823,3.674,6.173,7.137,6.894,7.436,6.614,6.509,6.677,6.395,5.84,5.943,5.75,5.487,5.532,5.159,4.888,5.006,4.472,4.828,3.985,4.338,4.371,4.191,3.909,4.132,4.309,4.759,5.027,4.68,4.429,3.592,3.486,4.734,4.557,5.242,5.025
